ID,slp,pval,season
X91695,0.122945350241551,0.521648148844523,spr
X91188,0.217156399710755,0.345305697448102,spr
X91297,0.599412055335963,0.00762845212038399,spr
X93355,0.126620311167941,0.7179633437776,spr
X91541,0.420915920716148,0.0438387871621092,spr
X93729,0.182916905034344,0.491823743144037,spr
X92349,0.433811857707507,0.0746500897742795,spr
X91256,0.585752643948289,0.00711551760719677,spr
X91448,0.458166893115945,0.0148890644892535,spr
X91736,0.364302244039269,0.110445992364054,spr
X92026,-0.0878011775362417,0.770840345264592,spr
X92360,0.528641304347815,0.0606804726654334,spr
X92217,0.370001503694784,0.138958294570753,spr
X91770,0.226814182194665,0.248724735539182,spr
X92664,-0.165412541806022,0.506620569504461,spr
X93380,0.487271982998881,0.0139505112827032,spr
X93035,0.0208785236502569,0.953545373759069,spr
X93611,0.695732837528606,0.00186564692544231,spr
X93370,0.185321557971016,0.345305697448102,spr
X92004,-0.303968190537081,0.382212151761582,spr
X94551,-0.00423936269044353,1,spr
X94077,0.0305687941285692,0.879610141396948,spr
X94007,0.23833106884058,0.357347193610757,spr
X95588,-0.200416953084725,0.632869142286627,spr
X95205,-0.533479859335036,0.165602484830615,spr
X95195,-0.511904264214038,0.158606077060869,spr
X95720,-0.716616936629727,0.0709323430729971,spr
X95236,-1.10161345108695,0.010027526446318,spr
X95556,-1.24034743788818,0.0081742874385338,spr
X97699,0.494262810558991,0.0370207476659053,spr
X96022,-0.00143995735385349,1,spr
X97423,0.492656772575264,0.0311273101113248,spr
X97321,0.224459239130441,0.421442378942573,spr
X97445,0.404670641267995,0.0545528426741626,spr
X97386,0.698746678743958,0.003451102206067,spr
X97481,0.77747282608696,0.000898419225653561,spr
X97434,0.746009167462965,0.0114624693753633,spr
X96508,0.607954453959886,0.0169190539927849,spr
X97438,0.650060103876634,0.0180222821867531,spr
X96717,-0.328663537549424,0.289033542541944,spr
X97819,-0.336645531400968,0.278566049656945,spr
X98409,0.0618200549450545,0.824804616833755,spr
X98323,-0.1469355453852,0.616375003480359,spr
X98483,-0.323160973084889,0.421442378942573,spr
X99886,0.242631091734352,0.382212151761582,spr
X100161,0.462866847826083,0.0956939083516393,spr
X100269,0.391769957983188,0.138958294570753,spr
X100172,0.282529425465833,0.25841287570987,spr
X99335,0.366694127483776,0.138958294570753,spr
X98859,0.467726074697611,0.0639519780524364,spr
X100281,0.443453124999989,0.0911427988442931,spr
X99712,0.242101449275361,0.345305697448102,spr
X99006,0.1309339464883,0.616375003480359,spr
X100112,0.431876613776445,0.132843309662691,spr
X99261,0.33065579710146,0.110445992364054,spr
X100203,0.110155083443135,0.649547898256237,spr
X98823,-0.204316576086956,0.521648148844523,spr
X100241,-0.0975461133069908,0.700619648328836,spr
X99003,0.21111801242236,0.477262035081051,spr
X99840,0.330379493694715,0.212521935405059,spr
X98967,-0.274199432892252,0.268359528829253,spr
X98803,0.0160088566827655,0.972117135841733,spr
X98886,0.367236609955887,0.138958294570753,spr
X101069,-0.0993687972589808,0.700619648328836,spr
X101092,0.210156250000033,0.506620569504461,spr
X101534,0.120415534420298,0.683430638863361,spr
X101470,-0.148146174477694,0.616375003480359,spr
X101461,0.0115909679089062,0.972117135841733,spr
X101435,0.0988612531969248,0.842992183820956,spr
X101319,-0.183865680795966,0.735453618117175,spr
X101353,0.294885762299773,0.382212151761582,spr
X101185,0.302639751552791,0.345305697448102,spr
X101144,0.196556598594648,0.616375003480359,spr
X101423,-0.040874360613805,0.916487445993529,spr
X101182,0.113184782608686,0.700619648328836,spr
